Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions;∅ DE/LU neighbours [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Denmark 2 [€/MWh] Calculated resolutions;France [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Norway 2 [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Sweden 4 [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Czech Republic [€/MWh] Calculated resolutions;DE/AT/LU [€/MWh] Calculated resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Calculated resolutions;Hungary [€/MWh] Calculated resolutions
Feb 25, 2022;Feb 26, 2022;119.96;163.20;242.66;112.36;93.39;245.43;213.35;124.57;166.40;103.86;86.01;265.67;141.46;-;284.29;267.53;219.41
Feb 26, 2022;Feb 27, 2022;225.43;208.25;242.99;224.80;219.69;243.40;245.33;140.64;229.24;140.96;128.92;249.36;225.43;-;250.21;229.24;229.24
Feb 27, 2022;Feb 28, 2022;182.41;171.26;187.78;178.63;178.63;196.55;183.95;138.08;191.58;118.84;118.84;208.54;182.41;-;202.54;191.58;183.77
Feb 28, 2022;Mar 1, 2022;208.30;201.89;219.78;178.55;179.02;250.95;217.75;143.03;246.53;142.79;161.41;256.31;224.70;-;255.68;245.04;268.77
Mar 1, 2022;Mar 2, 2022;241.40;220.06;258.04;229.20;205.66;270.02;252.33;147.85;251.94;146.76;126.54;287.53;244.86;-;274.32;264.89;249.60
Mar 2, 2022;Mar 3, 2022;278.78;245.69;269.97;278.78;278.78;274.02;244.05;151.18;278.64;160.72;212.12;275.64;278.72;-;279.57;278.87;278.76
Mar 3, 2022;Mar 4, 2022;338.20;290.28;341.49;338.20;338.20;346.67;330.90;160.69;340.00;145.03;186.71;327.00;338.20;-;362.74;362.87;338.20
Mar 4, 2022;Mar 5, 2022;358.78;318.34;364.87;358.78;358.78;363.70;352.77;202.82;367.45;153.99;223.68;388.05;366.88;-;383.30;375.27;379.16
Mar 5, 2022;Mar 6, 2022;344.40;303.31;359.57;343.50;343.50;355.04;332.11;186.08;350.30;168.06;191.17;362.67;344.40;-;363.65;360.15;350.30
Mar 6, 2022;Mar 7, 2022;340.80;291.43;332.01;339.28;339.28;364.42;329.92;191.67;366.74;135.76;103.74;362.12;340.80;-;379.33;370.68;340.80
Mar 7, 2022;Mar 8, 2022;410.10;351.53;410.97;392.46;397.39;421.05;392.56;239.18;426.36;138.21;207.70;424.22;416.74;-;456.06;427.14;436.30
Mar 8, 2022;Mar 9, 2022;487.57;425.23;461.95;445.36;464.54;540.66;443.32;263.55;555.45;171.90;268.83;574.54;487.41;-;594.83;561.96;544.73
Mar 9, 2022;Mar 10, 2022;446.25;394.51;457.55;443.73;443.73;462.30;432.22;226.27;474.03;166.79;246.42;539.73;446.88;-;484.75;474.03;473.30
Mar 10, 2022;Mar 11, 2022;279.15;280.35;347.82;252.60;239.64;367.23;311.40;213.27;365.05;145.81;158.44;386.44;296.17;-;393.67;385.86;324.55
Mar 11, 2022;Mar 12, 2022;80.44;181.59;175.75;80.07;64.63;278.65;184.05;191.68;299.02;121.47;64.63;353.24;184.31;-;371.49;319.32;307.33
Mar 12, 2022;Mar 13, 2022;124.25;177.78;186.90;114.79;104.29;263.96;222.94;180.80;230.53;134.13;96.07;268.30;152.84;-;281.11;278.72;262.12
Mar 13, 2022;Mar 14, 2022;115.10;157.21;144.68;110.57;73.68;250.32;201.18;165.22;221.02;86.99;59.23;281.44;134.95;-;307.09;284.60;268.86
Mar 14, 2022;Mar 15, 2022;281.44;248.65;279.54;248.95;229.35;301.27;275.95;199.96;289.11;154.18;164.94;310.41;281.44;-;323.39;316.05;305.84
Mar 15, 2022;Mar 16, 2022;300.54;270.69;290.65;271.11;280.82;295.77;271.11;215.57;301.84;188.72;259.94;301.54;300.54;-;304.19;303.67;304.35
Mar 16, 2022;Mar 17, 2022;245.30;241.92;278.99;230.33;231.26;278.33;266.24;194.09;270.56;165.57;204.28;286.60;254.84;-;282.16;280.69;276.06
Mar 17, 2022;Mar 18, 2022;225.41;199.29;246.31;165.06;147.17;260.26;231.22;175.59;246.85;130.75;83.32;268.37;237.23;-;264.55;249.87;248.62
Mar 18, 2022;Mar 19, 2022;228.90;205.77;229.07;215.61;215.61;233.83;227.11;183.77;235.48;161.52;85.59;246.92;228.90;-;248.30;236.18;232.05
Mar 19, 2022;Mar 20, 2022;130.95;154.17;113.18;130.59;128.33;208.45;147.88;168.40;189.74;130.16;101.39;234.41;143.36;-;253.90;201.15;237.99
Mar 20, 2022;Mar 21, 2022;49.04;122.16;159.46;49.58;44.54;219.68;150.45;164.13;108.92;89.91;42.06;236.40;78.61;-;228.22;164.23;129.56
Mar 21, 2022;Mar 22, 2022;205.75;195.04;218.68;188.51;166.13;243.59;217.02;177.24;223.08;140.60;115.44;249.38;205.75;-;247.48;228.19;224.11
Mar 22, 2022;Mar 23, 2022;236.49;221.47;232.22;236.49;236.49;239.93;232.34;196.01;238.00;146.71;192.00;249.52;236.49;-;244.17;238.00;236.55
Mar 23, 2022;Mar 24, 2022;236.53;222.80;232.81;236.53;236.53;242.44;232.24;203.44;238.38;150.79;199.64;241.65;236.30;-;242.00;238.38;236.98
Mar 24, 2022;Mar 25, 2022;238.00;220.58;239.00;237.24;237.30;248.21;233.40;191.31;240.54;147.11;167.83;246.42;238.00;-;248.04;241.77;240.24
Mar 25, 2022;Mar 26, 2022;244.38;211.08;242.07;216.30;203.93;272.79;242.03;188.00;252.17;134.75;59.67;265.78;244.38;-;279.71;254.65;247.61
Mar 26, 2022;Mar 27, 2022;189.55;168.58;170.48;174.28;123.01;231.23;182.67;182.34;217.76;115.14;34.49;233.40;189.55;-;235.29;217.76;204.91
Mar 27, 2022;Mar 28, 2022;200.59;174.13;200.55;186.65;182.55;207.57;197.78;184.64;202.04;106.11;49.98;196.92;200.59;-;206.83;202.04;203.81
Mar 28, 2022;Mar 29, 2022;221.57;172.84;225.20;126.86;80.40;250.66;215.85;186.08;229.91;100.63;16.84;247.20;221.57;-;254.04;230.77;226.03
Mar 29, 2022;Mar 30, 2022;250.18;222.72;244.94;210.72;210.72;260.19;234.34;202.44;252.32;150.51;179.96;253.57;250.18;-;254.62;253.23;252.26
Mar 30, 2022;Mar 31, 2022;271.03;249.10;264.04;244.75;250.29;301.26;248.26;217.05;275.69;167.55;217.02;283.13;271.03;-;303.60;275.63;271.03
Mar 31, 2022;Apr 1, 2022;209.19;226.77;255.65;210.17;206.29;294.20;258.23;209.84;227.57;126.53;195.47;300.42;210.11;-;300.69;227.57;217.72
Apr 1, 2022;Apr 2, 2022;160.13;199.89;208.62;172.83;160.13;317.50;201.04;187.07;190.47;112.68;155.45;327.93;165.12;-;317.57;190.47;171.15
Apr 2, 2022;Apr 3, 2022;166.40;197.91;222.81;166.40;166.40;302.92;224.64;185.99;196.10;122.45;112.47;312.02;164.78;-;304.32;195.85;167.95
Apr 3, 2022;Apr 4, 2022;172.89;195.07;280.30;170.91;140.29;292.65;240.77;183.77;197.26;99.61;76.82;311.90;151.47;-;284.05;194.00;161.26
Apr 4, 2022;Apr 5, 2022;75.33;199.37;225.80;75.33;62.15;551.43;212.34;172.84;209.58;91.22;66.15;349.39;176.88;-;348.92;217.94;230.45
Apr 5, 2022;Apr 6, 2022;183.02;188.37;184.58;153.56;99.42;308.30;239.18;181.74;217.33;109.01;74.72;310.21;194.01;-;305.39;220.16;216.81
Apr 6, 2022;Apr 7, 2022;121.33;165.87;127.69;121.33;121.87;274.35;185.73;173.89;168.38;117.44;113.41;274.99;145.53;-;284.72;180.07;174.65
Apr 7, 2022;Apr 8, 2022;74.15;132.87;81.99;76.62;80.36;219.54;200.56;170.11;140.18;87.61;78.63;227.90;98.06;-;244.63;159.87;167.96
Apr 8, 2022;Apr 9, 2022;120.87;153.82;212.93;107.21;63.87;248.11;228.69;170.62;152.49;96.98;41.58;243.90;125.65;-;281.58;211.89;162.14
Apr 9, 2022;Apr 10, 2022;59.82;123.47;133.53;59.82;25.69;241.63;180.90;165.96;116.54;85.36;28.15;241.69;78.88;-;239.65;118.13;134.73
Apr 10, 2022;Apr 11, 2022;74.65;117.25;182.70;62.82;18.32;217.91;189.23;167.82;92.03;59.30;18.91;201.34;79.36;-;215.10;94.53;90.16
Apr 11, 2022;Apr 12, 2022;223.62;205.10;233.17;218.89;182.57;229.05;233.14;190.16;225.19;133.44;143.51;243.40;223.62;-;238.20;225.30;227.59
Apr 12, 2022;Apr 13, 2022;184.59;193.99;210.80;181.53;180.19;239.96;205.27;183.75;203.39;144.30;160.35;238.90;185.39;-;268.41;226.13;202.51
Apr 13, 2022;Apr 14, 2022;222.52;201.13;234.43;208.45;185.77;238.08;239.05;185.30;226.72;126.09;102.29;243.71;222.52;-;246.03;227.33;225.18
Apr 14, 2022;Apr 15, 2022;227.71;207.57;227.49;221.98;221.06;227.92;227.54;193.85;227.76;160.36;117.45;230.18;227.71;-;243.69;231.04;227.75
Apr 15, 2022;Apr 16, 2022;192.96;176.71;202.64;191.74;177.45;199.74;206.25;189.51;194.02;134.08;61.36;194.07;192.96;-;245.98;194.02;193.24
Apr 16, 2022;Apr 17, 2022;149.21;139.76;144.92;149.21;149.21;152.01;147.79;171.06;149.82;114.22;58.46;151.03;149.59;-;194.14;149.82;162.50
Apr 17, 2022;Apr 18, 2022;108.82;106.04;105.16;111.57;110.59;112.23;108.05;147.91;109.49;90.26;47.13;119.06;104.99;-;172.32;109.49;104.99
Apr 18, 2022;Apr 19, 2022;120.23;119.49;120.75;126.38;126.29;123.55;126.63;138.84;120.62;104.27;87.06;119.77;120.23;-;185.64;120.81;131.15
Apr 19, 2022;Apr 20, 2022;213.00;201.72;208.84;212.36;213.00;217.80;209.31;198.50;221.76;147.84;159.61;208.14;221.76;-;233.79;228.57;245.20
Apr 20, 2022;Apr 21, 2022;203.25;186.24;199.07;203.25;203.25;206.02;201.27;189.99;207.58;135.40;85.61;209.67;207.58;-;238.48;226.07;241.10
Apr 21, 2022;Apr 22, 2022;199.50;178.98;196.55;198.37;198.37;202.56;198.59;187.22;201.58;140.68;46.10;197.31;201.46;-;244.97;213.66;209.77
Apr 22, 2022;Apr 23, 2022;172.49;167.38;171.36;171.97;168.41;200.52;179.60;174.25;203.60;122.98;52.63;191.96;203.93;-;232.41;203.60;204.43
Apr 23, 2022;Apr 24, 2022;93.31;114.29;73.96;104.89;81.31;172.36;62.54;157.71;142.42;121.68;61.00;157.59;121.68;-;258.40;152.16;150.35
Apr 24, 2022;Apr 25, 2022;108.53;111.00;77.35;108.29;108.14;149.01;83.82;126.91;125.42;97.70;77.45;152.67;114.20;-;213.59;125.42;125.42
Apr 25, 2022;Apr 26, 2022;223.46;210.96;222.33;221.22;221.36;222.83;221.22;203.14;223.38;144.77;199.36;217.53;223.46;-;263.10;223.38;223.46
Apr 26, 2022;Apr 27, 2022;238.47;225.75;228.71;232.60;238.03;243.57;224.63;197.13;241.34;164.88;227.54;244.78;240.05;-;251.92;246.57;240.78
Apr 27, 2022;Apr 28, 2022;222.21;214.05;220.43;222.15;222.21;222.02;219.06;203.49;222.21;158.33;212.65;229.79;222.24;-;239.52;225.56;223.28
Apr 28, 2022;Apr 29, 2022;230.15;222.69;230.10;228.31;230.15;230.20;230.12;208.12;230.16;165.92;220.40;245.98;230.15;-;243.49;230.16;230.15
Apr 29, 2022;Apr 30, 2022;228.02;222.67;227.86;227.83;227.83;228.17;227.92;215.89;228.06;187.60;224.58;225.57;228.02;-;244.74;228.06;228.02
Apr 30, 2022;May 1, 2022;201.28;195.48;200.93;201.28;201.28;200.93;201.16;196.84;201.83;149.92;192.61;202.28;201.28;-;210.71;204.99;201.34
May 1, 2022;May 2, 2022;194.74;182.27;194.74;194.74;194.74;194.74;194.74;192.93;194.74;121.68;139.32;187.81;194.74;-;208.75;195.07;194.74
May 2, 2022;May 3, 2022;219.02;201.26;218.17;212.27;200.96;218.95;217.44;206.18;219.05;115.27;157.16;229.35;219.02;-;226.87;219.05;219.02
May 3, 2022;May 4, 2022;218.16;199.65;218.13;218.16;197.14;218.21;218.16;214.57;218.25;111.47;145.28;218.54;218.25;-;256.21;224.29;218.37
May 4, 2022;May 5, 2022;231.29;219.42;227.64;231.29;231.29;234.59;228.42;222.35;232.18;140.08;206.76;227.15;231.88;-;246.48;232.18;233.20
May 5, 2022;May 6, 2022;234.49;225.88;233.78;234.14;234.49;234.28;233.72;221.88;235.18;168.56;217.39;236.12;235.18;-;269.26;235.39;236.62
May 6, 2022;May 7, 2022;225.36;217.66;225.36;223.72;224.39;225.36;225.36;212.21;225.36;166.83;211.68;228.68;225.36;-;277.90;229.66;225.36
May 7, 2022;May 8, 2022;201.43;191.59;201.43;197.23;197.23;201.43;201.43;194.71;201.43;152.66;160.92;197.54;201.43;-;210.85;205.48;201.43
May 8, 2022;May 9, 2022;171.82;164.25;168.15;171.81;171.81;175.00;169.19;181.54;172.93;125.31;125.16;174.00;171.82;-;200.21;176.72;173.97
May 9, 2022;May 10, 2022;216.81;204.30;215.24;215.43;215.43;219.25;214.78;199.85;217.68;135.75;176.32;220.82;216.81;-;249.70;224.46;237.86
May 10, 2022;May 11, 2022;183.32;167.87;165.25;171.41;128.59;207.13;167.94;184.72;201.16;124.72;86.26;213.06;196.38;-;230.31;228.19;210.33
May 11, 2022;May 12, 2022;159.09;160.52;150.78;156.59;156.59;191.42;157.47;174.42;189.69;117.02;86.84;197.52;187.34;-;236.65;205.43;268.50
May 12, 2022;May 13, 2022;169.12;154.16;175.68;154.04;118.00;196.25;168.40;155.67;177.32;108.24;64.75;202.14;175.27;-;223.08;208.25;218.79
May 13, 2022;May 14, 2022;168.79;159.40;165.73;143.66;119.91;203.91;160.78;143.59;194.82;133.18;85.09;208.54;194.20;-;248.40;226.40;196.90
May 14, 2022;May 15, 2022;152.97;136.42;154.59;145.55;63.71;183.59;160.89;137.87;166.89;128.72;12.68;182.94;163.17;-;212.04;166.89;173.88
May 15, 2022;May 16, 2022;149.02;137.79;148.24;149.02;149.02;147.72;148.92;141.86;148.91;119.93;61.86;151.14;149.02;-;215.09;148.91;157.11
May 16, 2022;May 17, 2022;211.58;195.95;190.45;208.39;210.67;218.90;208.10;176.69;214.87;168.45;143.53;200.67;214.70;-;237.89;216.71;236.47
May 17, 2022;May 18, 2022;225.75;212.97;219.53;225.05;225.05;229.81;221.37;179.47;226.31;179.43;182.62;227.85;226.12;-;236.82;232.84;235.73
May 18, 2022;May 19, 2022;206.97;198.00;202.77;193.44;198.03;213.33;205.50;178.77;207.41;172.11;192.38;207.35;206.97;-;230.88;207.41;206.97
May 19, 2022;May 20, 2022;210.81;200.55;209.40;210.81;201.73;213.88;210.81;189.53;210.85;152.25;184.60;211.34;210.81;-;248.03;220.83;210.81
May 20, 2022;May 21, 2022;209.23;194.30;204.61;201.89;181.94;207.39;213.02;183.00;208.70;146.07;174.68;206.77;209.23;-;246.86;208.70;209.35
May 21, 2022;May 22, 2022;103.36;129.57;135.76;116.77;109.86;177.81;138.92;132.54;119.23;101.59;107.09;173.70;111.97;-;213.11;143.59;140.82
May 22, 2022;May 23, 2022;166.03;162.83;165.92;166.00;166.00;166.19;165.90;159.39;166.06;149.27;149.74;170.64;166.03;-;192.47;166.83;166.88
May 23, 2022;May 24, 2022;188.14;182.11;190.58;180.01;174.75;191.04;196.33;173.63;188.43;162.24;172.08;185.92;188.14;-;221.41;216.21;207.22
May 24, 2022;May 25, 2022;162.94;156.23;171.13;126.29;129.26;183.18;177.89;128.29;172.86;151.39;128.72;177.80;171.67;-;229.67;195.64;204.00
May 25, 2022;May 26, 2022;177.50;173.41;159.28;163.10;166.60;191.13;163.42;153.17;179.89;193.79;162.81;182.98;191.37;-;215.46;200.81;193.18
May 26, 2022;May 27, 2022;67.93;84.63;51.09;48.72;29.28;166.02;90.60;52.86;92.06;107.36;22.89;159.11;110.91;-;222.66;195.30;191.28
May 27, 2022;May 28, 2022;46.77;86.67;39.61;43.21;19.22;162.85;97.21;47.91;72.24;110.99;16.92;168.63;174.55;-;244.50;192.37;206.47
May 28, 2022;May 29, 2022;36.85;79.05;79.35;34.41;35.04;151.16;66.80;33.98;71.55;102.60;35.04;155.78;103.80;-;202.23;126.56;171.96
May 29, 2022;May 30, 2022;156.33;153.61;159.01;154.30;155.53;158.82;165.41;141.95;156.79;132.64;146.93;162.05;156.33;-;187.86;161.15;156.79
May 30, 2022;May 31, 2022;225.99;215.00;225.99;225.99;225.99;225.99;225.99;174.95;225.99;181.76;205.12;221.22;225.99;-;227.64;226.79;226.22
May 31, 2022;Jun 1, 2022;210.17;199.42;208.33;210.15;210.17;211.04;207.51;174.96;210.35;173.97;154.99;221.90;210.24;-;234.54;224.92;219.74
Jun 1, 2022;Jun 2, 2022;215.29;204.75;215.20;215.26;215.29;216.85;215.26;179.54;218.11;181.12;161.78;215.72;218.11;-;241.57;235.60;228.05
Jun 2, 2022;Jun 3, 2022;188.87;179.64;185.18;171.31;172.17;193.49;183.81;164.06;194.26;166.59;153.00;197.98;194.15;-;213.50;205.90;195.77
Jun 3, 2022;Jun 4, 2022;184.55;175.43;166.11;173.75;182.63;198.71;167.36;161.35;186.22;172.01;140.04;195.49;186.11;-;267.15;197.38;198.38
Jun 4, 2022;Jun 5, 2022;162.49;163.28;144.30;162.03;162.49;174.01;146.94;154.08;171.37;173.59;159.64;175.09;172.59;-;209.74;192.33;181.61
